File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
60_Equal_115R.fasta,0.6,1923,5031.183,1273.0,219.0,99.84250196096265,5603.127272727273,5.033804258873812,3616.9053234006415,22.2810009627899
60_Equal_115R.fasta,0.62,1303,2870.408,734.0,179.0,99.39872111315682,2797.5055555555555,4.516944129663136,1837.7457782094687,10.332525710639134
60_Equal_115R.fasta,0.64,1056,2096.299,553.0,147.0,99.03188746416033,2087.27027027027,4.309576767011488,1411.1446366782006,12.738004285710833
60_Equal_115R.fasta,0.66,872,1887.153,440.0,118.0,98.47308307414644,1683.5966386554621,4.079008663837815,1141.2857142857142,15.428598628768018
60_Equal_115R.fasta,0.68,710,1608.744,336.0,89.0,97.87615199562359,1335.3333333333335,3.796285800412004,900.667942583732,18.952716336096856
60_Equal_115R.fasta,0.7000000000000001,577,956.304,253.0,74.0,97.31848974704232,1002.04,3.6473211009053417,709.8179800221976,23.32747437839878
60_Equal_115R.fasta,0.7200000000000001,489,767.17,192.0,66.0,96.63967433414953,762.6716417910447,3.5752225910766757,580.673568818514,27.53441201304376
60_Equal_115R.fasta,0.7400000000000001,402,527.062,163.0,43.0,95.19195561658267,702.0681818181818,3.273713550655223,480.7667682926829,33.50381694530608
60_Equal_115R.fasta,0.7600000000000001,324,437.461,123.0,43.0,94.30162322300743,494.52272727272725,3.162350022897755,381.29390018484287,41.58797474365835
60_Equal_115R.fasta,0.7800000000000001,239,280.021,84.0,24.0,92.63001511316925,378.44,2.9194404665510465,277.42553191489367,56.41250198637514
60_Equal_115R.fasta,0.8000000000000002,190,242.67,69.0,22.0,90.92026235415965,292.0,2.7760519061373143,225.58661417322836,71.03901316834934
60_Equal_115R.fasta,0.8200000000000002,138,141.436,50.0,16.0,87.53423296885911,210.05882352941177,2.396055706029769,165.42857142857144,97.91332618237934
60_Equal_115R.fasta,0.8400000000000002,83,86.004,24.0,9.0,80.50552303170868,110.6,2.0613252974350633,92.23076923076923,163.11943766484794
60_Equal_115R.fasta,0.8600000000000002,55,67.571,14.0,6.0,81.25702975546193,68.0,1.8583972276059906,60.38461538461538,247.3476261393609
60_Equal_115R.fasta,0.8800000000000002,25,55.334,3.0,5.0,80.56797659054543,25.5,1.6545509582901137,25.71641791044776,547.5339050455744
60_Equal_115R.fasta,0.9000000000000002,12,30.624,3.0,1.0,70.66288903708913,13.5,0.9202818136037813,13.636363636363637,1165.711158753798
60_Equal_115R.fasta,0.9200000000000003,6,21.346,1.0,1.0,67.31225021760709,6.0,0.21277100827630066,6.272727272727273,2434.4518597922997
60_Equal_115R.fasta,0.9400000000000003,4,21.86,1.0,0.0,66.6371681948236,4.0,0.0885410635395744,4.4,3968.862964948075
60_Equal_115R.fasta,0.9600000000000003,2,40.302,0.0,0.0,66.3447309240605,2.0,0.018096085431051793,NaN,8704.931482474038
60_Equal_115R.fasta,0.9800000000000003,2,21.074,0.0,1.0,66.32373190680649,2.0,0.0014601359173564757,2.0,11072.965741237018
60_Equal_115R.fasta,1.0000000000000002,1,18.294,0.0,0.0,66.32123860939396,1.0,-0.0,NaN,24513.965741237018
