File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
60_Equal_53R.fasta,0.6,1759,77.641,1160.0,196.0,99.82425342464485,5171.284263959391,4.942377905043224,3023.1991896037143,6.3774872086412735
60_Equal_53R.fasta,0.62,1245,44.539,686.0,185.0,99.43322979608554,2508.198924731183,4.559896617308021,1701.6709154113557,9.015564246753929
60_Equal_53R.fasta,0.64,1009,34.0,528.0,147.0,99.00030689538438,1949.0540540540542,4.268190326635126,1332.8069705093833,11.12687370093831
60_Equal_53R.fasta,0.66,841,29.255,415.0,119.0,98.47427961277336,1556.875,4.004888456994939,1070.0387426900584,13.352112810583755
60_Equal_53R.fasta,0.68,703,21.544,324.0,98.0,97.99706751817614,1231.5454545454545,3.934795780597694,869.0365448504983,15.976318794894144
60_Equal_53R.fasta,0.7000000000000001,601,15.788,266.0,72.0,97.44906541964146,1083.8082191780823,3.711512491457232,730.743879472693,18.692140297495662
60_Equal_53R.fasta,0.7200000000000001,482,12.41,195.0,62.0,96.62309002026048,782.2380952380952,3.5327712152038027,570.8162344983089,23.31263929522302
60_Equal_53R.fasta,0.7400000000000001,398,8.826,158.0,50.0,95.34118252741006,641.1960784313726,3.3856900659440003,466.61354581673305,28.24450411883222
60_Equal_53R.fasta,0.7600000000000001,320,6.853,116.0,46.0,94.30218999035014,461.9148936170213,3.2460465321933176,368.8730964467005,35.144514075371355
60_Equal_53R.fasta,0.7800000000000001,255,5.414,80.0,47.0,92.21012190853118,320.8333333333333,2.989980346618667,288.109243697479,44.12997848657008
60_Equal_53R.fasta,0.8000000000000002,199,4.072,74.0,25.0,90.94265204708053,302.88461538461536,2.8270811042650505,235.6211604095563,56.59361798234457
60_Equal_53R.fasta,0.8200000000000002,140,2.704,51.0,15.0,88.50758794831886,219.6875,2.585396973257713,164.6376811594203,80.53281155701674
60_Equal_53R.fasta,0.8400000000000002,85,1.809,25.0,5.0,85.72815674021037,135.0,2.333901850092765,95.6,132.92391543008256
60_Equal_53R.fasta,0.8600000000000002,52,1.472,18.0,2.0,84.30539686763912,103.0,2.10522994933742,59.74683544303797,218.28699837365545
60_Equal_53R.fasta,0.8800000000000002,33,0.873,10.0,3.0,78.93186450206663,44.25,1.6263519620787266,37.52380952380952,346.55415146586836
60_Equal_53R.fasta,0.9000000000000002,21,0.45,5.0,1.0,67.72011837567072,26.0,0.5206949425274007,23.115384615384613,550.6930548317081
60_Equal_53R.fasta,0.9200000000000003,10,0.416,2.0,1.0,67.61595183408903,10.5,0.5789175993860157,13.0,1176.8693054831708
60_Equal_53R.fasta,0.9400000000000003,4,0.333,0.0,0.0,65.97456196023968,4.0,0.1463583094584076,4.0,3098.7173263707928
60_Equal_53R.fasta,0.9600000000000003,2,0.343,0.0,1.0,65.223242018796,2.0,0.0017172470283046705,2.0,7158.358663185396
60_Equal_53R.fasta,0.9800000000000003,2,0.37,0.0,0.0,65.2489840078133,2.0,0.005228504981517706,2.0,9188.179331592699
60_Equal_53R.fasta,1.0000000000000002,1,0.298,0.0,0.0,65.22141263469214,1.0,-0.0,NaN,20406.1793315927
