File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
60_Equal_53R.fasta,0.3,996,236.252,557.0,127.0,98.59984746791467,2205.734375,4.064138779009957,1369.2516605166052,11.263052208835342
60_Equal_53R.fasta,0.32,927,215.627,505.0,120.0,98.53509114081996,1978.7355371900826,4.110423104399161,1250.1845919145692,12.11355237562981
60_Equal_53R.fasta,0.34,827,187.675,419.0,110.0,98.27334133839769,1615.927927927928,3.9142706446347386,1073.9226475279106,13.579339241082986
60_Equal_53R.fasta,0.36000000000000004,802,182.882,408.0,101.0,98.11746484090118,1616.0,3.8729652713328955,1037.6009732360098,14.004463016510078
60_Equal_53R.fasta,0.38000000000000006,750,165.415,347.0,115.0,97.985133550811,1267.5086206896551,3.8546476249004975,936.084759576202,14.97600595068868
60_Equal_53R.fasta,0.4000000000000001,706,167.879,330.0,93.0,98.02998951461576,1283.5,4.010329585230826,879.3419023136247,15.910730886615706
60_Equal_53R.fasta,0.4200000000000001,683,156.194,322.0,87.0,97.62008312888025,1270.284090909091,3.774809734897514,853.2857142857142,16.447892724577766
60_Equal_53R.fasta,0.4400000000000001,630,131.235,272.0,89.0,97.52134565868572,1039.5111111111112,3.7576382753594424,769.3740458015267,17.832456972578697
60_Equal_53R.fasta,0.46000000000000013,624,133.04,284.0,79.0,97.35646052474152,1126.325,3.712552499843462,769.8157389635317,18.006141757968877
60_Equal_53R.fasta,0.48000000000000015,587,124.373,255.0,79.0,97.2110825496835,991.8125,3.6562449284014686,710.913676042677,19.14140739652124
60_Equal_53R.fasta,0.5000000000000001,545,105.071,239.0,65.0,96.74295448394506,975.9242424242425,3.5660183578966356,665.5459518599562,20.61860808696609
60_Equal_53R.fasta,0.5200000000000001,526,105.446,220.0,83.0,96.51310289700949,812.7857142857142,3.529993988233344,634.3002207505518,21.366195072408683
60_Equal_53R.fasta,0.5400000000000001,493,98.875,200.0,72.0,96.07897273537145,765.6027397260274,3.4944770408649304,586.621867881549,22.797903032601237
60_Equal_53R.fasta,0.5600000000000002,466,88.346,192.0,58.0,96.07276827055081,776.7796610169491,3.567771219191622,551.6009122006842,24.121883912087128
60_Equal_53R.fasta,0.5800000000000002,420,74.575,175.0,63.0,95.55977890647699,657.890625,3.384330176181931,506.6058394160584,26.76695686645735
60_Equal_53R.fasta,0.6000000000000002,416,78.493,167.0,55.0,95.01365522127134,663.5178571428571,3.456536902728668,491.7685185185185,27.030689800159752
60_Equal_53R.fasta,0.6200000000000002,380,71.239,143.0,53.0,95.04523610519499,568.0185185185185,3.327149509278639,444.2127031019202,29.592186025789896
60_Equal_53R.fasta,0.6400000000000002,362,64.643,146.0,46.0,94.52041916798946,587.2127659574468,3.232224810490564,429.8525641025641,31.07069664648008
60_Equal_53R.fasta,0.6600000000000003,346,59.444,137.0,40.0,93.92521695228396,573.219512195122,3.1854161491617186,405.6578538102644,32.511765019209484
60_Equal_53R.fasta,0.6800000000000003,315,47.564,120.0,46.0,93.01664877721653,466.9148936170213,3.0686094775874246,366.986301369863,35.715910365140346
60_Equal_53R.fasta,0.7000000000000003,299,55.014,110.0,41.0,92.86317058111757,441.73809523809524,3.081140386061358,347.3079847908745,37.63784585406401
