File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
60_Equal_112R.fasta,0.1,1818,73.217,1189.0,235.0,99.46754154508474,4810.652542372882,5.52431534129429,3321.489224539081,6.123212321232123
60_Equal_112R.fasta,0.12000000000000001,1607,66.674,1027.0,206.0,99.12817795894436,4152.173913043478,5.309254419924567,2846.3116351470753,6.931003865787948
60_Equal_112R.fasta,0.14,1516,55.67,951.0,196.0,98.8701354771991,3809.020304568528,5.211351067477511,2630.853744506549,7.347579817853422
60_Equal_112R.fasta,0.16,1419,49.806,886.0,174.0,98.60932386441917,3659.3142857142857,5.113617489618841,2469.2982075430455,7.850139238772272
60_Equal_112R.fasta,0.18,1302,43.609,785.0,174.0,98.50358230787793,3060.4,5.052195378715827,2148.469662138874,8.555952487894602
60_Equal_112R.fasta,0.19999999999999998,1215,39.306,711.0,176.0,98.25633841165272,2641.016949152542,4.937634174621229,1805.749692382547,9.169181853899502
60_Equal_112R.fasta,0.21999999999999997,1046,31.779,593.0,147.0,97.70302616234936,2232.0,4.7762556703520165,1512.5403568394222,10.651213366973137
60_Equal_112R.fasta,0.23999999999999996,989,30.201,544.0,135.0,97.43549928086156,2075.0,4.74543965128144,1387.5063078216988,11.266583633333642
60_Equal_112R.fasta,0.25999999999999995,924,26.26,491.0,132.0,96.85670965874432,1828.4736842105262,4.6721846527877755,1267.9125541125543,12.059812319949494
60_Equal_112R.fasta,0.27999999999999997,835,23.616,434.0,113.0,96.18240266921335,1659.219298245614,4.446145069925591,1127.548148148148,13.346179415952035
60_Equal_112R.fasta,0.3,775,20.806,392.0,109.0,96.00162402649501,1471.6909090909091,4.44214919810426,1025.745471877979,14.38109184440768
60_Equal_112R.fasta,0.32,640,16.53,314.0,83.0,94.2049563125363,1225.0119047619048,4.159359473187892,829.0939226519337,17.416220456006887
60_Equal_112R.fasta,0.34,583,13.451,279.0,85.0,93.70637324252975,1033.9418604651164,4.154975245679158,751.084662576687,19.124213071108073
60_Equal_112R.fasta,0.36000000000000004,520,11.386,247.0,65.0,92.65688507055017,980.3181818181818,3.924643121130134,667.5090909090909,21.44446964052136
60_Equal_112R.fasta,0.38000000000000006,466,10.511,206.0,59.0,90.97805552869089,817.9166666666667,3.815381403822066,579.1802325581396,23.93443019236163
60_Equal_112R.fasta,0.4000000000000001,366,7.341,152.0,47.0,87.7691703402479,605.0833333333334,3.5076930943400106,441.61421319796955,30.480695164460002
60_Equal_112R.fasta,0.4200000000000001,310,5.692,134.0,37.0,86.09441321353046,544.5,3.1923947984807914,373.89575289575293,36.008002242466
60_Equal_112R.fasta,0.4400000000000001,259,4.84,107.0,35.0,84.5705163063061,416.52777777777777,3.07345113519305,318.5112359550562,43.11972201638018
60_Equal_112R.fasta,0.46000000000000013,219,3.534,91.0,37.0,81.99599494500582,326.7631578947368,2.772495885460898,278.94444444444446,51.02794393614786
60_Equal_112R.fasta,0.48000000000000015,187,2.742,77.0,24.0,78.05397952946625,304.04,2.5537705057347084,229.109375,59.80228847024678
60_Equal_112R.fasta,0.5000000000000001,119,1.98,49.0,11.0,76.06652650628777,217.0,2.3885072219148844,145.45398773006136,94.04875872664074
