File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
60_Equal_55R.fasta,0.1,1164,56.847,683.0,149.0,99.36777162475352,2716.6866666666665,4.732419297352389,1763.1110409586088,7.457044673539519
60_Equal_55R.fasta,0.12000000000000001,996,44.939,562.0,125.0,98.98463367878747,2247.1190476190477,4.484355576833257,1392.940157480315,8.72234643039512
60_Equal_55R.fasta,0.14,922,39.565,497.0,118.0,98.84524094221683,1957.764705882353,4.415585230004531,1239.1770592763664,9.423776948406068
60_Equal_55R.fasta,0.16,852,36.858,452.0,111.0,98.51305296729997,1762.0535714285716,4.257191903913624,1142.0780984719863,10.198854198296251
60_Equal_55R.fasta,0.18,777,31.902,411.0,99.0,98.25652933612196,1619.55,4.137075945897876,1048.3398058252428,11.184297109650318
60_Equal_55R.fasta,0.19999999999999998,719,30.294,366.0,84.0,98.0744803639108,1504.8235294117649,4.055833888711903,932.9271708683473,12.087878021014813
60_Equal_55R.fasta,0.21999999999999997,621,21.802,299.0,83.0,97.56101089768954,1151.3690476190477,3.9075733049432886,792.827922077922,13.996920898584566
60_Equal_55R.fasta,0.23999999999999996,584,22.649,268.0,87.0,97.252190713839,990.5681818181818,3.936864942862794,736.6111111111111,14.886981028935931
60_Equal_55R.fasta,0.25999999999999995,524,18.032,234.0,67.0,96.6889388665737,924.8970588235294,3.6981441539248117,646.123076923077,16.5932957653224
60_Equal_55R.fasta,0.27999999999999997,488,17.242,219.0,64.0,96.23571053865112,855.2461538461539,3.605507271679047,605.476821192053,17.820887901158446
60_Equal_55R.fasta,0.3,448,14.328,197.0,49.0,95.3924583354078,834.12,3.475145999828324,546.7676630434783,19.414778767636513
60_Equal_55R.fasta,0.32,364,10.292,143.0,45.0,94.30487321705841,584.7173913043478,3.29091435772702,425.7546628407461,23.89949115046054
60_Equal_55R.fasta,0.34,334,10.558,126.0,47.0,93.76066193315869,498.0625,3.2562665633962915,393.9351351351351,26.059579314821736
60_Equal_55R.fasta,0.36000000000000004,297,8.704,112.0,36.0,92.78067025618975,465.0,3.1795804078068333,347.9490196078431,29.313331916884923
60_Equal_55R.fasta,0.38000000000000006,265,7.676,94.0,35.0,91.53830597762483,386.4166666666667,3.051579893120817,311.29850746268653,32.865333327988246
60_Equal_55R.fasta,0.4000000000000001,207,5.306,70.0,26.0,89.89270334653362,296.44444444444446,2.9049375892182856,236.33687002652522,42.09113687598062
60_Equal_55R.fasta,0.4200000000000001,176,3.831,62.0,14.0,87.42437047228215,302.06666666666666,2.5980685298082333,204.01481481481483,49.55733600497717
60_Equal_55R.fasta,0.4400000000000001,156,3.457,59.0,21.0,85.793734775169,233.77272727272725,2.4865116971234564,187.50485436893203,55.95870087182677
60_Equal_55R.fasta,0.46000000000000013,129,2.949,46.0,13.0,85.35779069689977,202.92857142857144,2.4293642407165503,151.74444444444444,67.72061008427772
60_Equal_55R.fasta,0.48000000000000015,100,2.125,35.0,10.0,77.64347879168825,154.0909090909091,2.0112165083732827,114.9074074074074,87.47720610084278
60_Equal_55R.fasta,0.5000000000000001,61,1.217,26.0,5.0,78.97357145294035,115.16666666666666,1.594447517873478,86.38486510569379,143.7291345262433
