File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
43_clusters.fa,0.3,122,346.178,44.0,11.0,0.0,200.83333333333331,2.44322131153904,144.28571428571428,2063.901639344262
43_clusters.fa,0.32,89,262.506,33.0,4.0,0.0,194.6,2.427237795033472,104.93103448275862,2852.3584453858907
43_clusters.fa,0.34,65,281.58,18.0,5.0,0.0,90.5,2.3992991338870793,72.71428571428572,3917.6670530059364
43_clusters.fa,0.36000000000000004,67,264.395,22.0,0.0,0.0,298.0,2.383823696408566,84.06366221007283,3816.6218963135216
43_clusters.fa,0.38000000000000006,59,285.136,12.0,5.0,0.0,70.0,2.2991856135974382,63.390243902439025,4332.4173202765005
43_clusters.fa,0.4000000000000001,49,264.211,13.0,2.0,0.0,75.0,2.3278384273394064,53.779411764705884,5227.1105575566635
43_clusters.fa,0.4200000000000001,48,252.438,11.0,3.0,0.0,61.75,2.328353865881505,54.111111111111114,5354.648136615764
43_clusters.fa,0.4400000000000001,44,257.081,13.0,3.0,0.0,63.5,2.293078161952112,50.95348837209303,5844.332912195812
43_clusters.fa,0.46000000000000013,35,214.381,8.0,2.0,0.0,44.333333333333336,2.3005978585684463,38.529411764705884,7361.15236891988
43_clusters.fa,0.48000000000000015,33,257.433,9.0,0.0,0.0,69.0,2.2210636214030277,183.1609657947686,7853.24704148242
43_clusters.fa,0.5000000000000001,32,231.408,7.0,1.0,0.0,42.5,2.2272266137076673,34.44186046511628,8114.038970046326
43_clusters.fa,0.5200000000000001,31,238.922,6.0,2.0,0.0,36.0,2.21713568551891,33.30769230769231,8384.194805485366
43_clusters.fa,0.5400000000000001,26,252.786,5.0,2.0,0.0,29.333333333333332,2.2214829097085627,28.647058823529413,10006.930569441745
43_clusters.fa,0.5600000000000002,25,242.187,6.0,1.0,0.0,32.5,2.2027555526702614,30.4375,10472.11722277767
43_clusters.fa,0.5800000000000002,22,261.774,3.0,1.0,0.0,23.5,2.16904256336945,23.0,11921.278055580804
43_clusters.fa,0.6000000000000002,22,188.094,6.0,1.0,0.0,29.5,2.0354140011019273,34.30651340996169,11987.1490025264
43_clusters.fa,0.6200000000000002,20,178.671,3.0,1.0,0.0,21.5,1.9530187007889415,21.875,13189.15745012632
43_clusters.fa,0.6400000000000002,17,180.947,1.0,0.0,0.0,17.0,1.9147055796790462,17.25,15587.362202948607
43_clusters.fa,0.6600000000000003,18,182.89,0.0,3.0,0.0,18.0,1.8023915682592242,18.0,14854.631233497144
43_clusters.fa,0.6800000000000003,17,155.394,2.0,0.0,0.0,18.0,1.5913741411209819,NaN,15685.331249029245
43_clusters.fa,0.7000000000000003,16,161.299,1.0,0.0,0.0,16.0,1.7304591679306816,16.2,16717.58320306433
