File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
43_clusters.fa,0.1,538,165.981,190.0,108.0,0.0,702.7247706422019,2.8362376849932205,625.469512195122,456.3996282527881
43_clusters.fa,0.12000000000000001,413,123.624,149.0,69.0,0.0,570.5142857142857,2.512514763669877,478.54475703324806,595.6401928044861
43_clusters.fa,0.14,291,108.467,94.0,38.0,0.0,403.0769230769231,2.4960587569787793,330.5046904315197,845.8372515216648
43_clusters.fa,0.16,218,121.164,69.0,29.0,0.0,296.2,2.3820103933261074,247.44240837696333,1130.224024089549
43_clusters.fa,0.18,170,96.836,58.0,19.0,0.0,252.65,2.3154947910693333,198.16460905349794,1451.0189648475855
43_clusters.fa,0.19999999999999998,135,89.317,39.0,10.0,0.0,202.36363636363637,2.2711075355625496,149.88796680497924,1829.5853256655375
43_clusters.fa,0.21999999999999997,94,105.007,23.0,12.0,0.0,113.46153846153845,2.2563480631942383,101.70879120879121,2631.623248145378
43_clusters.fa,0.23999999999999996,79,100.347,20.0,6.0,0.0,106.14285714285714,2.2528270192580213,85.93333333333334,3141.4509271917136
43_clusters.fa,0.25999999999999995,61,85.031,16.0,5.0,0.0,81.0,2.2363926369168516,66.19298245614036,4076.794277494946
43_clusters.fa,0.27999999999999997,54,98.18,15.0,6.0,0.0,69.0,2.2420500732842217,60.0,4622.588782916573
43_clusters.fa,0.3,40,96.757,6.0,2.0,0.0,45.0,2.182114846004266,41.48148148148148,6254.139719572914
43_clusters.fa,0.32,32,81.983,4.0,2.0,0.0,34.0,2.1627523005926905,33.116279069767444,7868.660616236653
43_clusters.fa,0.34,27,75.776,4.0,0.0,0.0,33.0,2.1800849552743964,28.0,9385.617059860617
43_clusters.fa,0.36000000000000004,25,81.99,4.0,1.0,0.0,28.0,2.1395267896561174,28.46938775510204,10197.144682394424
43_clusters.fa,0.38000000000000006,23,82.77,1.0,0.0,0.0,23.0,1.75436281441545,23.266666666666666,11119.136725321498
43_clusters.fa,0.4000000000000001,21,59.766,2.0,0.0,0.0,22.0,1.7638171013120525,21.34285714285714,12222.006510729596
43_clusters.fa,0.4200000000000001,17,50.616,1.0,0.0,0.0,17.0,1.557522765086719,17.333333333333332,15162.647441807625
43_clusters.fa,0.4400000000000001,17,44.308,0.0,1.0,0.0,17.0,1.3958945697719591,17.0,15335.62632010633
43_clusters.fa,0.46000000000000013,13,39.763,1.0,0.0,0.0,13.0,0.6634044684661556,13.5,20067.58664000818
43_clusters.fa,0.48000000000000015,10,41.705,1.0,1.0,0.0,10.0,0.2926205444899898,11.0,26561.058664000815
43_clusters.fa,0.5000000000000001,9,42.753,2.0,0.0,0.0,10.0,0.4542806670472005,9.555555555555555,30233.784296000093
