File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
43_clusters.fa,0.3,95,326.321,27.0,13.0,0.0,120.07142857142857,2.374444178279284,106.51748251748252,2584.6631578947367
43_clusters.fa,0.32,78,290.545,26.0,6.0,0.0,124.42857142857143,2.4497585389744465,89.42056074766356,3181.123886639676
43_clusters.fa,0.34,63,270.677,15.0,4.0,0.0,84.0,2.35430406388726,69.83823529411765,3948.0019664545976
43_clusters.fa,0.36000000000000004,81,255.737,40.0,3.0,0.0,276.0,2.3008164896138172,158.47394737644439,3080.1358267463534
43_clusters.fa,0.38000000000000006,54,227.355,11.0,4.0,0.0,65.0,2.298269512763203,59.5,4604.132144939747
43_clusters.fa,0.4000000000000001,43,323.42,8.0,4.0,0.0,48.6,2.2687043026832394,46.10204081632653,5817.37516616139
43_clusters.fa,0.4200000000000001,40,237.232,9.0,4.0,0.0,47.2,2.2605716557015825,44.76470588235294,6284.009379154035
43_clusters.fa,0.4400000000000001,34,263.409,4.0,1.0,0.0,37.0,2.2365804442779984,35.0,7406.676746445707
43_clusters.fa,0.46000000000000013,32,306.16,7.0,1.0,0.0,42.5,2.1940722487184408,34.52777777777778,7904.677398326428
43_clusters.fa,0.48000000000000015,29,258.475,6.0,1.0,0.0,36.5,2.1800810793814867,31.75,8739.57508270091
43_clusters.fa,0.5000000000000001,26,280.285,5.0,0.0,0.0,36.0,2.1777828590251858,28.36842105263158,9780.099041642343
43_clusters.fa,0.5200000000000001,25,247.627,2.0,3.0,0.0,25.25,2.1860371227255984,25.64,10212.923961665692
43_clusters.fa,0.5400000000000001,23,237.942,4.0,0.0,0.0,29.0,2.1820552386577745,24.217391304347828,11119.822780941986
43_clusters.fa,0.5600000000000002,23,216.823,3.0,2.0,0.0,24.0,2.168852276502955,24.615384615384613,11159.253164388781
43_clusters.fa,0.5800000000000002,21,229.923,4.0,0.0,0.0,27.0,2.1415167749221498,23.4,12223.916817351846
43_clusters.fa,0.6000000000000002,20,9420.84,3.0,2.0,0.0,21.0,2.1086018807955864,22.57142857142857,12888.345840867592
43_clusters.fa,0.6200000000000002,18,243.953,1.0,0.0,0.0,18.0,1.9998917477212512,18.333333333333332,14357.296991159312
43_clusters.fa,0.6400000000000002,18,191.674,3.0,1.0,0.0,19.5,1.9613221838063404,18.857142857142858,14438.90538839774
43_clusters.fa,0.6600000000000003,16,181.933,2.0,0.0,0.0,17.0,1.7786700255443304,16.8,16248.86908677486
43_clusters.fa,0.6800000000000003,14,106.018,1.0,0.0,0.0,14.0,1.1879103941117573,14.25,18699.419220483916
43_clusters.fa,0.7000000000000003,14,129.499,1.0,0.0,0.0,14.0,1.2046393424301889,NaN,18874.45851574885
