File Name,Threshold,# Clu, Run Time (s), Singletons,Doubletons, W. Sim, Chao1, Shannon, Ace, avg Cluster size
60_Equal_138.fasta,0.1,1123,63.61,566.0,170.0,99.48013641295648,2058.058479532164,4.512309359273363,1454.0192419825073,10.288512911843277
60_Equal_138.fasta,0.12000000000000001,969,49.763,470.0,147.0,99.22564426718418,1713.6959459459458,4.334799970966129,1243.7892190739462,11.934250271322853
60_Equal_138.fasta,0.14,911,46.334,435.0,131.0,99.10078926943959,1626.1136363636365,4.289090994086505,1156.5195729537365,12.695866355950958
60_Equal_138.fasta,0.16,839,42.527,395.0,127.0,98.84213169689376,1446.9296875,4.163302273118078,1065.5210484511517,13.786288279327712
60_Equal_138.fasta,0.18,789,37.569,348.0,116.0,98.66028425122903,1305.0512820512822,4.09859125992573,971.4018691588785,14.661326094143634
60_Equal_138.fasta,0.19999999999999998,725,36.104,316.0,106.0,98.53643918133903,1190.1401869158879,4.079953288853962,892.7017543859649,15.956774242888473
60_Equal_138.fasta,0.21999999999999997,627,30.34,264.0,92.0,97.73886010941351,1000.2903225806451,3.830954365652327,764.7624365482234,18.452881617612263
60_Equal_138.fasta,0.23999999999999996,589,27.216,240.0,85.0,97.45332894937683,922.4883720930233,3.7739478441719734,706.5560081466394,19.647627982372857
60_Equal_138.fasta,0.25999999999999995,539,24.224,213.0,74.0,97.07994582198668,840.04,3.70957479648528,642.8791946308725,21.47244457881702
60_Equal_138.fasta,0.27999999999999997,498,20.957,185.0,70.0,96.84992894400087,737.7183098591549,3.77304860700663,581.2918552036199,23.243920571443407
60_Equal_138.fasta,0.3,465,19.221,164.0,68.0,95.91306130758342,658.7101449275362,3.602977731052721,537.6031363088058,24.897298753917084
60_Equal_138.fasta,0.32,377,13.724,132.0,53.0,94.92960063477584,537.1111111111111,3.3808913505954385,436.2281776416539,30.71325543436052
60_Equal_138.fasta,0.34,350,14.453,117.0,51.0,94.54128802832709,480.5,3.364039612445824,401.15171288743886,33.09918072981246
60_Equal_138.fasta,0.36000000000000004,303,10.636,100.0,47.0,93.27828575396396,406.125,3.1644504267565865,346.7037037037037,38.24125142155054
60_Equal_138.fasta,0.38000000000000006,272,9.561,81.0,38.0,92.88194012699476,355.0769230769231,3.182233854860851,306.6645161290323,42.61853401257923
60_Equal_138.fasta,0.4000000000000001,213,6.703,67.0,28.0,90.70582223753749,289.2413793103448,2.989970492388857,242.64601769911505,54.444218469542626
60_Equal_138.fasta,0.4200000000000001,177,6.2,48.0,28.0,90.37482558762996,215.89655172413794,2.805157108481027,195.95924764890282,65.58443061282227
60_Equal_138.fasta,0.4400000000000001,160,3.904,48.0,22.0,86.11025584420018,209.04347826086956,2.4427115511462305,179.36842105263156,72.62240269133014
60_Equal_138.fasta,0.46000000000000013,119,3.441,32.0,17.0,84.31411092283605,146.55555555555554,2.3125076635961475,133.242774566474,97.70270926631369
60_Equal_138.fasta,0.48000000000000015,91,2.819,24.0,11.0,79.04871567678323,114.0,2.17048632475859,100.37748344370861,128.04068911281664
60_Equal_138.fasta,0.5000000000000001,65,1.715,16.0,9.0,79.50869487855569,77.0,1.8126790413762615,71.33663366336634,179.72370290942794
